policyholder_id,full_name,gender,date_of_birth,region,email,phone,customer_since,credit_score
PH100068,Dr Joan Taylor,Male,1980-05-31,South East,griffithsclaire@example.com,(0191) 4960157,2019-12-25,470
PH100069,Hazel Lambert,Male,1975-10-08,London,owenclive@example.net,(029) 2018 0903,2017-04-05,412
PH100070,Adam Long,Male,1990-09-03,Wales,mooredennis@example.org,+44(0)909 8790923,2022-01-31,680
PH100071,Leslie Roberts-Griffiths,Male,1945-03-24,Wales,shane81@example.net,+44(0)131 4960558,2023-01-12,351
PH100072,Barbara Wilkinson,Female,1946-09-10,North West,wrahman@example.net,+44808 157 0099,2022-07-13,572
PH100073,Kirsty Akhtar,Male,1959-11-27,North East,ericpotter@example.com,0306 999 0613,2020-09-16,788
PH100074,Harry Gardiner,Male,1996-12-25,Midlands,ewhite@example.com,+44(0)1154960730,2022-01-19,691
PH100075,Melissa Mann,Male,2002-10-13,North East,alison78@example.net,+44117 496 0461,2020-12-27,720
PH100076,Mr Peter Riley,Male,1964-03-25,South East,jonesstacey@example.net,01314960626,2021-06-08,345
PH100077,Thomas Morgan,Female,2006-01-24,Yorkshire,alison95@example.net,01164960446,2024-04-09,409
PH100078,Mr Jake Stevenson,Female,1959-05-13,North West,barrettclare@example.org,(029) 2018704,2021-09-23,451
PH100079,Kenneth Taylor,Female,1981-10-17,Wales,dickinsonantony@example.com,+44(0)1414960226,2020-06-26,460
PH100080,Jennifer Lamb,Female,1953-10-15,Wales,griffithsmartyn@example.org,+4429 2018 0817,2021-01-12,406
PH100081,Miss Carole Hussain,Male,2003-10-13,Yorkshire,jeanhayes@example.org,08081570151,2024-03-02,834
PH100082,Ricky Adams-Jones,Female,1979-08-27,North West,harrisjill@example.net,+44(0)289018602,2024-02-03,390
PH100083,Stephanie Lloyd,Male,1958-04-26,North West,elaineward@example.com,+44(0)121 496 0298,2017-09-21,689
PH100084,Leah Newman,Male,1968-03-31,Scotland,harrisphilip@example.org,01414960707,2021-03-15,622
PH100085,Sally George,Male,1947-10-20,Scotland,mariaberry@example.com,+44(0)289018660,2018-04-28,635
PH100086,Shane Kerr,Female,1945-06-25,South East,abbie57@example.net,(0121)4960641,2025-07-03,418
PH100087,Mr Matthew Hunt,Male,1960-07-27,South East,kmurphy@example.org,+44(0)20 74960785,2016-11-25,469
PH100088,Lucy Rees,Male,2004-12-16,North West,ronald43@example.com,+44306 9990758,2022-05-07,633
PH100089,Hazel Taylor,Female,1995-02-28,Wales,gerard02@example.com,+44(0)131 496 0126,2019-06-04,464
PH100090,Mrs Ruth Smith,Male,2005-08-13,Scotland,caroline29@example.org,(0191) 4960612,2021-04-11,681
PH100091,Michael Bibi,Female,2000-02-20,Scotland,justin22@example.org,0113 4960594,2020-02-23,321
PH100092,Miss Danielle Martin,Male,1995-11-09,North East,connorthomas@example.com,01174960897,2018-03-27,340
PH100093,Charles Smith-Byrne,Male,1979-08-27,North West,chloesmith@example.org,(0151) 496 0074,2022-03-09,700
PH100094,Brandon Hodgson,Male,1987-10-07,Northern Ireland,chelseagoddard@example.net,+44(0)113 4960177,2018-09-11,639
PH100095,Mrs Rebecca Hale,Female,2006-04-02,North East,leigh25@example.com,+44(0)131 496 0095,2017-01-09,323
PH100096,Adam Ford,Male,1978-11-09,South East,eleanoratkins@example.org,(0118) 4960654,2018-12-25,794
PH100097,Tina Pritchard,Male,1992-12-01,Scotland,xbegum@example.org,(0306) 9990084,2016-10-29,302
PH100098,Mrs Lesley Charlton,Male,1992-01-26,South East,jmurray@example.org,+44(0)116 496 0456,2024-08-10,825
PH100099,Beverley Lee,Other,2005-12-04,North West,eileen47@example.com,(0113) 4960754,2019-10-20,701
PH100100,Derek Talbot-Scott,Female,1971-10-06,Scotland,annabriggs@example.com,+4428 9018 0091,2025-07-04,843
PH100101,Arthur Bailey,Female,1971-11-21,South East,charlene17@example.org,+44131 4960086,2019-12-27,821
PH100102,Dr Mohamed Webb,Male,1980-06-19,London,josephinewalton@example.com,(0118) 496 0218,2022-02-18,472
PH100103,Holly Clark,Other,1942-06-03,Wales,alexandergerald@example.com,0115 496 0227,2022-09-23,716
PH100104,Julia Bryan,Female,1948-06-19,North East,colin50@example.net,01514960457,2021-09-05,416
PH100105,Sylvia Kelly-Ward,Female,1945-02-25,Scotland,carolehill@example.com,+44292018938,2016-10-31,559
PH100106,Elliott Davis,Male,1983-08-26,Yorkshire,danielshort@example.com,020 74960701,2017-09-06,432
PH100107,Duncan Smith,Male,2008-03-01,Scotland,simpsonlisa@example.org,+44(0)1214960502,2019-01-28,567
PH100108,Mr Jordan Thomson,Male,1986-08-04,Northern Ireland,mstephens@example.net,+44(0)2074960168,2021-06-07,779
PH100109,Dr Daniel Harper,Female,1956-03-12,North West,walkerrebecca@example.com,(01632)960154,2023-07-25,539
PH100110,Mr Stanley Robinson,Male,1962-01-11,Midlands,rachelcharlton@example.com,0151 496 0602,2019-08-23,350
PH100111,Melissa Fisher,Male,2005-07-13,North East,kirbybruce@example.com,+44(0)1632960416,2019-12-06,478
PH100112,Mrs Victoria Tucker,Male,1975-09-07,London,fcameron@example.org,(0115)4960394,2018-10-26,732
PH100113,Keith Kaur-Lee,Female,1941-03-22,Northern Ireland,acox@example.com,(0121)4960988,2024-12-18,586
PH100114,Martyn Kennedy,Male,1997-02-23,Scotland,ben66@example.org,09098790305,2020-02-05,608
PH100115,Nicola Brookes,Female,1957-06-10,Wales,wilkinsleon@example.com,02074960736,2021-11-25,537
PH100116,Mr Antony Kelly,Female,1946-11-20,South West,gary96@example.org,+44(0)118 4960248,2018-04-28,461
PH100117,Charlene Webb,Female,1986-05-16,South West,boltonabdul@example.com,(029) 2018 0096,2019-09-26,628
PH100118,Dr Dylan Morris,Male,1996-05-24,London,suzannehall@example.net,+44(0)116 4960440,2023-11-23,648
PH100119,Amanda Simpson,Female,1945-09-24,Yorkshire,marcskinner@example.com,+441414960306,2019-03-16,793
PH100120,Mr Russell Jennings,Female,2003-11-24,South West,andrea70@example.com,029 2018 0244,2022-04-21,639
PH100121,Mohammed Gill-Ali,Female,1972-12-19,Northern Ireland,valerie87@example.org,+44(0)151 4960951,2022-04-06,847
PH100122,Harry Phillips,Male,1964-08-07,Wales,jamescarl@example.com,+441174960305,2017-10-03,754
PH100123,Mr Karl Carr,Male,2001-05-17,South West,ruth71@example.net,+441174960194,2021-05-08,343
PH100124,Dr Jamie Ryan,Male,1958-11-10,Wales,helen27@example.net,+441632 960 979,2021-09-28,515
PH100125,Clive Rogers,Female,2004-12-18,Yorkshire,matthewbaldwin@example.com,+44(0)1414960958,2018-12-25,511
PH100126,Mr Nathan Brown,Male,1987-01-05,Yorkshire,eturner@example.net,(0141) 496 0780,2020-01-30,301
PH100127,Suzanne Mills,Male,2002-06-08,Northern Ireland,kimberley79@example.com,(0131) 496 0555,2024-05-09,399
PH100128,Mr Bradley Parsons,Male,1974-06-29,Midlands,teresa71@example.com,+44808 157 0727,2024-05-09,719
PH100129,Marc Davies,Female,1954-02-20,North East,bradyben@example.net,09098790738,2018-04-23,493
PH100130,Dr Stephen Clark,Male,1990-07-27,Scotland,lanebethany@example.net,+44(0)29 2018264,2025-03-15,381
PH100131,Louise Jackson-Robinson,Female,1999-11-28,Wales,susanhumphries@example.com,+44141 4960091,2024-11-14,458
PH100132,Michelle Anderson,Female,1954-08-15,North East,samantha50@example.com,(028)9018785,2024-12-19,451
PH100133,Miss Marion Butler,Male,1954-05-08,London,melanie18@example.org,+44(0)114 496 0385,2019-08-15,395
PH100134,Kevin Cooper,Female,1957-07-16,North East,neilanderson@example.org,(0121)4960457,2018-01-14,355
PH100135,Neil Smith,Male,1982-08-17,London,guy44@example.net,(029) 2018702,2017-04-10,720
PH100136,Charlie Winter-Bennett,Female,1951-03-03,Midlands,lewis89@example.com,(028) 9018 0929,2022-09-06,753
PH100137,Glenn Peters,Female,1947-10-25,Wales,jameskhan@example.com,+44131 496 0966,2019-07-05,572
PH100138,Albert Chapman-Williams,Female,2003-02-18,Wales,danielle65@example.org,(0306) 999 0048,2021-05-10,638
PH100139,Roger Johnson,Male,1986-07-08,Wales,lloydstephanie@example.org,+44(0)1632 960736,2019-08-07,805
PH100140,Benjamin Peters,Female,1985-09-03,Wales,yvonneosborne@example.net,(0191)4960269,2025-06-18,763
PH100141,Tina Gordon-Miles,Female,1982-04-20,Wales,fletchermartin@example.org,0909 8790116,2020-11-27,317
PH100142,Miss Julia Clarke,Female,1992-07-12,Wales,andrewjones@example.com,+44117 4960319,2024-10-13,824
PH100143,Dr Annette Morris,Female,1977-05-19,Midlands,bradley79@example.net,01214960226,2019-08-25,336
PH100144,Cheryl Pearce,Male,1943-06-08,North East,kyle40@example.net,+441914960653,2018-01-25,314
PH100145,Mrs Kathleen Hussain,Male,1973-05-10,Midlands,mortonannette@example.org,+44(0)1414960945,2021-09-26,521
PH100146,Miss Joan Williams,Male,1982-10-07,South West,mohammadharvey@example.org,(0306)9990515,2020-03-10,710
PH100147,Kenneth Lewis,Female,1974-01-15,Yorkshire,fieldnathan@example.org,+441614960886,2021-11-10,344
PH100148,Mr Hugh Cunningham,Male,2007-07-26,Northern Ireland,russellsharon@example.org,+44(0)117 496 0677,2024-05-16,461
PH100149,Mohamed Parkinson,Male,2001-07-22,South East,raymondrhodes@example.net,0121 4960722,2018-07-23,444
PH100150,Mrs Elaine Davies,Female,1999-08-21,North East,joneshoward@example.org,+44141 496 0408,2021-04-29,518
PH100151,Sandra Kennedy,Female,1973-12-08,North West,atkinsmark@example.org,+448081570572,2023-08-05,842
PH100152,Lesley Robinson,Male,2007-07-02,South East,wallrussell@example.net,+4429 2018 0169,2019-11-21,482
PH100153,Alan Murphy,Female,2002-11-06,North East,jeffreydavies@example.org,+44(0)289018666,2018-07-27,414
PH100154,Gerard Chamberlain,Male,1959-08-14,London,lanericky@example.net,0117 496 0093,2025-06-24,367
PH100155,Alex Hughes-Smith,Female,1955-08-31,Yorkshire,jay28@example.net,+44(0)1154960998,2021-02-05,408
PH100156,Leigh Burgess,Male,1979-10-10,North East,leannepearce@example.org,+441144960996,2021-08-06,373
PH100157,Mr Phillip Lloyd,Female,1944-03-29,Northern Ireland,hillalex@example.com,(0113)4960593,2020-01-29,615
PH100158,Dr Peter Bevan,Female,1994-11-29,South West,shannonburgess@example.net,+44116 496 0971,2019-11-07,531
PH100159,Mr Julian Browne,Female,1973-02-01,Yorkshire,bennettleanne@example.net,+44(0)131 4960096,2025-02-14,573
PH100160,Brett Hill,Male,1977-05-02,South East,lowen@example.org,+44(0)191 496 0832,2020-12-18,757
PH100161,Joel Stephens,Female,1974-09-23,Yorkshire,gdavies@example.org,+44(0)151 496 0532,2018-12-03,619
PH100162,Dr Stewart Sharp,Male,1967-05-02,South East,jessica63@example.net,0161 496 0352,2020-01-13,385
PH100163,Allan Burke,Male,1987-03-26,Scotland,janeclark@example.com,(0121) 496 0103,2024-03-17,507
PH100164,Francis Bartlett,Female,1952-06-12,South East,hallmaria@example.org,(020) 7496 0773,2019-06-24,471
PH100165,Frank Power-Mitchell,Male,2006-12-18,Wales,tcarter@example.com,+4429 2018973,2022-01-17,754
PH100166,Dr Elliot Jones,Female,1988-01-16,North East,reevesvalerie@example.org,+44(0)3069990278,2023-05-12,468
PH100167,Valerie Williams,Female,1971-11-05,North West,mabbott@example.net,+44289018195,2023-07-07,376
PH100168,Gareth Henry-Goodwin,Male,1987-06-05,Yorkshire,joyce73@example.net,+44909 8790237,2019-02-22,704
PH100169,Simon Khan,Female,1941-05-13,South West,bharris@example.org,(01632) 960100,2018-11-30,535
PH100170,Lorraine Faulkner,Male,1954-11-22,South West,bowenalice@example.net,+4429 2018 0687,2016-08-16,352
PH100171,Kenneth Collins-Miles,Female,1980-01-26,Northern Ireland,antony07@example.net,(0909) 8790616,2019-04-26,679
PH100172,Donald Sanderson,Male,1962-09-09,Wales,frostzoe@example.net,+44118 496 0819,2022-03-02,415
PH100173,Anna McCarthy,Female,1982-03-25,Scotland,baldwinhannah@example.com,+44(0)28 9018 0807,2024-06-16,777
PH100174,Mr Gerard Palmer,Male,1958-03-22,Northern Ireland,coxleslie@example.org,(0161) 496 0046,2024-08-08,757
PH100175,Stacey Burns,Male,1977-11-11,Midlands,joe53@example.net,+448081570056,2023-12-23,503
PH100176,Dr Sara Morris,Male,1956-09-07,South West,blees@example.net,(01632) 960 876,2017-03-24,605
PH100177,Josh Bartlett,Other,1972-08-11,North West,twhite@example.net,+44(0)306 999 0112,2024-01-19,612
PH100178,Jamie Sharpe,Female,1982-04-02,North West,carly65@example.com,0909 879 0491,2024-10-12,659
PH100179,Stephen McCarthy,Female,1965-06-11,South East,gscott@example.com,(01632) 960256,2021-12-12,338
PH100180,Declan Roberts,Female,1974-06-23,North West,sandragriffiths@example.com,029 2018 0523,2018-01-15,478
PH100181,Jake Gray-Bell,Female,1954-11-16,South East,ostephenson@example.org,+44(0)3069990734,2018-05-08,393
PH100182,Vincent Payne,Female,1988-03-17,North East,spenceralexander@example.org,0115 496 0517,2024-01-21,683
PH100183,Mrs Patricia Graham,Male,1965-11-17,London,ldavies@example.com,01632 960734,2019-07-24,338
PH100184,Kate Clayton,Female,1998-08-27,South West,carl49@example.net,(0131) 496 0475,2018-09-06,584
PH100185,Janice Mills-Murphy,Female,1959-07-30,Northern Ireland,carterirene@example.net,+44(0)306 999 0749,2023-09-13,700
PH100186,Dr Olivia Mitchell,Male,1952-10-16,North East,mjames@example.com,+44(0)118 4960902,2017-05-01,821
PH100187,Dr Malcolm Lee,Male,1949-06-24,Wales,qjones@example.net,0116 4960840,2019-11-02,458
PH100188,John Morris,Female,1979-09-21,London,sheila80@example.org,+441174960595,2020-02-09,304
PH100189,Melanie Wilson,Male,1956-02-07,Yorkshire,hshaw@example.com,01632960442,2017-05-08,698
PH100190,Gail Thomas,Female,1947-05-09,London,ymclean@example.com,020 74960477,2019-03-15,300
PH100191,Catherine Ryan,Male,1958-12-01,South West,lfowler@example.net,(029) 2018422,2017-07-11,336
PH100192,Dorothy Wyatt,Male,1956-08-05,South West,diana27@example.com,0116 4960946,2024-01-03,844
PH100193,Jenna Davies,Female,1969-12-14,South East,graemeedwards@example.com,(0118)4960303,2018-05-18,774
PH100194,Raymond Hall,Male,1966-06-18,North East,pearceabigail@example.net,(020)74960429,2018-07-04,689
PH100195,Sheila Thompson-Jenkins,Male,1950-06-24,South East,kjones@example.net,(0113) 496 0458,2018-02-13,759
PH100196,Kevin Hobbs-O'Brien,Female,2005-10-13,North West,dickinsonolivia@example.net,+44(0)1632 960867,2022-02-17,341
PH100197,Michelle Whitehead-Murray,Female,1950-09-24,Yorkshire,wrichards@example.com,0289018252,2018-06-27,348
PH100198,Declan Walker,Male,1995-05-07,Northern Ireland,benjamin09@example.org,+4420 7496 0858,2020-05-01,465
PH100199,Dr Sandra Wallis,Male,1952-07-27,North West,clairestone@example.net,+44(0)1314960672,2023-02-09,313
PH100200,Terry Smith-Harrison,Female,1974-07-14,Northern Ireland,millerkayleigh@example.com,+44909 879 0872,2025-02-10,788
PH100201,Amelia Foster-O'Neill,Other,2008-04-04,Northern Ireland,wgibson@example.com,(0161) 496 0601,2017-06-08,330
PH100202,Michael Ward,Female,1998-04-27,North East,qparsons@example.org,(0131) 496 0343,2023-09-30,599
PH100203,Miss Janet Lowe,Male,1975-09-19,South East,damianmiah@example.net,+44(0)117 496 0249,2020-08-01,769
PH100204,Mrs Anna Fuller,Male,1989-07-23,North West,walkergary@example.com,+44306 9990135,2019-06-01,704
PH100205,Alexandra Hunt,Male,1993-12-18,South West,haynesmichael@example.net,+44161 4960790,2016-09-13,429
PH100206,Bernard Goddard,Male,1960-12-17,Northern Ireland,ian76@example.net,+44(0)8081570833,2022-02-22,558
PH100207,Ms Amber Arnold,Female,1978-10-14,Yorkshire,sphillips@example.com,+44(0)131 496 0061,2025-02-17,601
PH100208,Cheryl Mann-Powell,Male,1979-03-05,Wales,robinsongemma@example.net,0131 496 0814,2017-11-27,722
PH100209,Donald Williams,Female,1967-08-27,North West,gstanley@example.com,+44(0)191 496 0881,2024-05-02,534
PH100210,Bryan Phillips-Barton,Female,1987-07-09,Northern Ireland,marshallrussell@example.com,0808 157 0079,2023-10-12,456
PH100211,Mr Bradley Wallace,Female,1944-08-23,North West,wkerr@example.net,0191 4960334,2019-02-09,737
PH100212,Kate Pearce,Male,1995-11-25,Scotland,mohammed94@example.com,0808 157 0233,2023-06-27,787
PH100213,Karl Holt,Female,1972-12-18,Northern Ireland,olawson@example.org,+44292018720,2017-05-05,568
PH100214,Ben Clayton,Female,1983-05-23,Midlands,gerardpritchard@example.com,+44(0)2074960484,2023-07-18,315
PH100215,Stacey Roberts,Female,1971-02-25,North West,nroberts@example.net,+44(0)1144960312,2018-02-25,575
PH100216,Miss Hilary Harrison,Male,1963-04-26,London,edwardsrosemary@example.org,0191 4960403,2020-01-02,789
PH100217,Ashleigh Boyle-Wells,Male,1965-02-08,Wales,abdul19@example.net,+44(0)117 4960399,2021-04-27,844
PH100218,Alice Atkinson,Female,1978-08-31,Northern Ireland,wpugh@example.org,01614960718,2025-07-15,520
PH100219,Ricky Reed,Male,2003-12-05,Wales,leanne46@example.net,+44(0)909 879 0051,2022-10-28,382
PH100220,Frank Berry-Hughes,Male,1958-01-31,South West,marc66@example.com,01174960717,2021-04-09,614
PH100221,Mr Jordan Harris,Female,1941-11-28,North West,jdavies@example.org,+44(0)114 496 0731,2021-08-11,756
PH100222,Ms Natasha Adams,Female,1948-10-21,North East,johnsongeorgia@example.org,+44191 496 0939,2022-01-01,819
PH100223,Dr Julia Hill,Female,1999-07-17,North East,vdobson@example.com,(0161) 4960490,2024-01-27,328
PH100224,Miss Stacey Campbell,Male,2006-01-19,South West,kim89@example.com,(020) 74960617,2023-05-18,459
PH100225,Natasha Smith-O'Neill,Female,1954-02-02,North East,bishopjulie@example.com,+44306 9990399,2016-08-14,562
PH100226,Sally Baldwin,Male,1979-09-21,Midlands,cameronhayes@example.net,0306 9990704,2019-10-22,354
PH100227,Leigh Gallagher,Female,1984-09-13,Scotland,tracy65@example.org,0306 9990694,2018-09-03,787
PH100228,Jodie White,Female,1952-06-06,North East,amyphillips@example.com,+44161 496 0258,2021-03-09,361
PH100229,Marcus Anderson,Male,1993-08-15,Yorkshire,douglasholmes@example.org,(0161) 496 0844,2021-07-30,665
PH100230,Alison Doyle,Male,1964-09-15,Yorkshire,jsmith@example.org,+44118 4960835,2023-06-18,805
PH100231,Ms Kathleen Brown,Male,1986-05-04,North West,smithdylan@example.com,+44(0)118 4960884,2020-03-06,676
PH100232,Philip Robertson,Other,1973-09-16,South West,bmoore@example.com,(028) 9018712,2024-07-27,719
PH100233,Julia Harris,Female,1990-08-24,London,howellabdul@example.org,(0161) 4960058,2024-12-21,444
PH100234,Frances Taylor,Female,2001-01-20,Midlands,smithricky@example.net,0161 496 0722,2021-07-29,755
PH100235,Lee Wong,Female,1966-06-22,Midlands,carlydavis@example.net,(0114) 4960641,2024-10-09,530
PH100236,Patrick Jones,Male,1960-01-17,Scotland,dgill@example.org,(0909) 8790758,2023-07-17,333
PH100237,Ronald Gallagher,Female,1983-07-08,Northern Ireland,mandy41@example.com,+44808 157 0231,2020-04-20,501
PH100238,Hayley Singh,Male,1950-05-30,Yorkshire,vanessa16@example.net,(0306) 999 0334,2025-02-26,492
PH100239,Kevin Fuller,Male,1951-12-16,London,damianclark@example.net,+441614960458,2024-05-02,586
PH100240,Dr Deborah Mellor,Female,1995-06-27,North West,bishopkimberley@example.net,0161 496 0149,2021-10-23,445
PH100241,Richard Hayes,Female,1963-07-03,North West,jean13@example.net,(0117)4960925,2020-04-18,554
PH100242,Dr Luke Turner,Male,1983-06-27,Yorkshire,griffinterry@example.com,(0116) 4960362,2023-05-07,535
PH100243,Ashleigh Miller,Female,1979-06-07,Midlands,vnelson@example.org,09098790292,2021-05-29,479
PH100244,Joel James,Female,1998-04-15,North East,glloyd@example.org,+44(0)1214960879,2019-01-27,682
